rank,balanced_score,bull_entry_threshold,bear_entry_threshold,weak_score_threshold,regime_ranging_threshold_weight_add,flip_min_hold_trading_days,flip_margin_weight,entry_dominance_gap_weight,total_trades,win_rate_pct,average_return_pct,best_trade_pct,worst_trade_pct,max_drawdown_pct,average_hold_days,flip_count,cash_periods,equity_end,total_return_pct
36,0.32618,5,5,3,0.75,3,1.5,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
37,0.32618,5,5,3,0.75,4,1.25,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
38,0.32618,5,5,3,0.75,4,1.25,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
39,0.32618,5,5,3,0.75,4,1.5,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
40,0.32618,5,5,3,0.75,4,1.5,1.5,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
41,-1.823861,5,5,3,0.45,4,2.0,1.25,30,43.3333,0.46185,11.301585,-3.790841,16.45377,7.4,3,3,1.132235,13.223461
42,-1.823861,5,5,3,0.45,4,2.0,1.5,30,43.3333,0.46185,11.301585,-3.790841,16.45377,7.4,3,3,1.132235,13.223461
43,-1.823861,5,5,3,0.55,4,2.0,1.25,30,43.3333,0.46185,11.301585,-3.790841,16.45377,7.4,3,3,1.132235,13.223461
44,-1.823861,5,5,3,0.55,4,2.0,1.5,30,43.3333,0.46185,11.301585,-3.790841,16.45377,7.4,3,3,1.132235,13.223461
45,-1.823861,5,5,3,0.65,4,2.0,1.25,30,43.3333,0.46185,11.301585,-3.790841,16.45377,7.4,3,3,1.132235,13.223461
46,-1.823861,5,5,3,0.65,4,2.0,1.5,30,43.3333,0.46185,11.301585,-3.790841,16.45377,7.4,3,3,1.132235,13.223461
47,-1.823861,5,5,3,0.75,4,2.0,1.25,30,43.3333,0.46185,11.301585,-3.790841,16.45377,7.4,3,3,1.132235,13.223461
48,-1.823861,5,5,3,0.75,4,2.0,1.5,30,43.3333,0.46185,11.301585,-3.790841,16.45377,7.4,3,3,1.132235,13.223461
49,-10.146218,5,5,3,0.45,3,2.0,1.0,32,40.625,0.342687,11.301585,-3.790841,18.85123,7.03125,5,0,1.099744,9.974377
50,-10.146218,5,5,3,0.55,3,2.0,1.0,32,40.625,0.342687,11.301585,-3.790841,18.85123,7.03125,5,0,1.099744,9.974377
51,-10.146218,5,5,3,0.65,3,2.0,1.0,32,40.625,0.342687,11.301585,-3.790841,18.85123,7.03125,5,0,1.099744,9.974377
52,-10.146218,5,5,3,0.75,3,2.0,1.0,32,40.625,0.342687,11.301585,-3.790841,18.85123,7.03125,5,0,1.099744,9.974377
53,-10.322945,5,5,3,0.45,3,1.25,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
54,-10.322945,5,5,3,0.45,3,1.5,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
55,-10.322945,5,5,3,0.45,4,1.25,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
56,-10.322945,5,5,3,0.45,4,1.5,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
57,-10.322945,5,5,3,0.55,3,1.25,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
58,-10.322945,5,5,3,0.55,3,1.5,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
59,-10.322945,5,5,3,0.55,4,1.25,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
60,-10.322945,5,5,3,0.55,4,1.5,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
61,-10.322945,5,5,3,0.65,3,1.25,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
62,-10.322945,5,5,3,0.65,3,1.5,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
63,-10.322945,5,5,3,0.65,4,1.25,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
64,-10.322945,5,5,3,0.65,4,1.5,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
65,-10.322945,5,5,3,0.75,3,1.25,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
66,-10.322945,5,5,3,0.75,3,1.5,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
67,-10.322945,5,5,3,0.75,4,1.25,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
68,-10.322945,5,5,3,0.75,4,1.5,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
69,-12.375974,5,5,3,0.45,4,2.0,1.0,32,40.625,0.31272,11.301585,-3.790841,19.63217,7.03125,5,0,1.08916,8.916032
70,-12.375974,5,5,3,0.55,4,2.0,1.0,32,40.625,0.31272,11.301585,-3.790841,19.63217,7.03125,5,0,1.08916,8.916032
71,-12.375974,5,5,3,0.65,4,2.0,1.0,32,40.625,0.31272,11.301585,-3.790841,19.63217,7.03125,5,0,1.08916,8.916032
72,-12.375974,5,5,3,0.75,4,2.0,1.0,32,40.625,0.31272,11.301585,-3.790841,19.63217,7.03125,5,0,1.08916,8.916032
