rank,balanced_score,bull_entry_threshold,bear_entry_threshold,weak_score_threshold,regime_ranging_threshold_weight_add,flip_min_hold_trading_days,flip_margin_weight,entry_dominance_gap_weight,total_trades,win_rate_pct,average_return_pct,best_trade_pct,worst_trade_pct,max_drawdown_pct,average_hold_days,flip_count,cash_periods,equity_end,total_return_pct
1,0.32618,5,5,3,0.55,3,1.25,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
2,0.32618,5,5,3,0.55,3,1.5,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
3,0.32618,5,5,3,0.65,3,1.25,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
4,0.32618,5,5,3,0.65,3,1.5,1.25,30,43.3333,0.496944,11.301585,-3.790841,15.560654,7.433333,4,3,1.144338,14.433828
5,-10.322945,5,5,3,0.55,3,1.25,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
6,-10.322945,5,5,3,0.55,3,1.5,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
7,-10.322945,5,5,3,0.65,3,1.25,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
8,-10.322945,5,5,3,0.65,3,1.5,1.0,32,40.625,0.345622,11.301585,-3.790841,18.773032,7.0625,6,0,1.100804,10.080352
